ID,DATE,USER_ID,NGO_ID,NO_OF_PACKAGES,STATUS
100,12/04/2020,3099,19,2,Requested
101,23/02/2020,2536,4,2,Requested
102,23/02/2020,4022,12,2,Requested
103,09/03/2020,424,16,1,Requested
104,17/02/2020,2697,8,2,Requested
105,21/04/2020,2738,6,2,Completed
106,25/04/2020,3014,14,2,Requested
107,04/02/2020,3295,4,2,Requested
108,21/03/2020,2194,17,1,Completed
109,23/03/2020,1851,5,2,Requested
110,27/04/2020,4068,12,1,Completed
111,25/03/2020,1933,14,2,Requested
112,18/04/2020,4204,19,1,Requested
113,20/03/2020,3560,6,2,Completed
114,03/04/2020,1100,6,2,Completed
115,28/03/2020,965,10,1,Requested
116,14/03/2020,3722,2,2,Requested
117,26/03/2020,972,3,2,Requested
118,01/03/2020,290,18,1,Requested
119,13/04/2020,3290,1,1,Requested
120,24/04/2020,1943,5,2,Requested
121,23/04/2020,3002,7,2,Requested
122,25/04/2020,276,14,2,Requested
123,20/04/2020,3488,7,1,Requested
124,13/03/2020,2756,8,2,Requested
125,01/03/2020,2265,6,2,Requested
126,26/04/2020,1042,5,1,Completed
127,25/03/2020,3599,10,2,Requested
128,22/04/2020,1321,6,2,Requested
129,29/03/2020,2351,18,2,Completed
130,20/03/2020,816,11,2,Requested
131,29/02/2020,2809,1,2,Requested
132,19/03/2020,12,5,1,Requested
133,15/04/2020,1495,4,2,Requested
134,11/02/2020,2836,1,1,Requested
135,05/02/2020,2744,16,1,Completed
136,09/02/2020,1840,12,2,Requested
137,29/02/2020,650,12,2,Requested
138,05/04/2020,3823,8,2,Requested
139,21/03/2020,520,1,1,Completed
140,16/02/2020,2816,10,2,Requested
141,13/04/2020,530,19,2,Requested
142,14/02/2020,2191,8,1,Requested
143,11/03/2020,4257,10,1,Completed
144,20/03/2020,153,13,2,Requested
145,22/04/2020,1194,12,2,Completed
146,19/03/2020,183,1,1,Requested
147,19/04/2020,4000,2,1,Requested
148,24/02/2020,476,11,1,Completed
149,11/04/2020,4367,3,2,Requested
150,14/04/2020,2327,19,1,Requested
151,02/04/2020,583,15,2,Requested
152,05/03/2020,3994,10,1,Requested
153,22/03/2020,1862,1,1,Requested
154,29/04/2020,2428,15,2,Requested
155,01/02/2020,943,1,2,Requested
156,23/02/2020,1448,4,1,Requested
157,14/03/2020,4027,14,2,Requested
158,14/03/2020,931,8,2,Requested
159,22/03/2020,4354,15,2,Requested
160,07/03/2020,2427,8,1,Requested
161,01/04/2020,1522,15,2,Completed
162,18/03/2020,4275,13,2,Completed
163,08/03/2020,3462,8,2,Requested
164,20/03/2020,438,8,2,Requested
165,08/03/2020,2494,17,2,Completed
166,02/04/2020,1640,18,2,Requested
167,25/04/2020,1960,13,2,Requested
168,29/02/2020,2332,16,2,Requested
169,03/04/2020,2728,2,1,Completed
170,08/02/2020,1950,7,1,Requested
171,25/03/2020,1952,10,1,Completed
172,15/03/2020,1296,8,2,Requested
173,09/03/2020,205,15,2,Requested
174,11/02/2020,2497,2,1,Requested
175,07/02/2020,1042,14,2,Completed
176,26/04/2020,4110,13,1,Requested
177,05/02/2020,4372,19,1,Requested
178,17/02/2020,2392,10,1,Requested
179,02/02/2020,4335,17,1,Requested
180,16/04/2020,1096,17,1,Requested
181,21/02/2020,3620,17,2,Requested
182,20/04/2020,2601,19,2,Requested
183,21/02/2020,412,6,2,Completed
184,08/04/2020,849,18,1,Requested
185,09/04/2020,3121,5,2,Requested
186,23/04/2020,1576,3,1,Requested
187,15/02/2020,3774,8,2,Requested
188,04/03/2020,2395,7,2,Requested
189,09/02/2020,4332,17,2,Completed
190,27/03/2020,2394,18,2,Completed
191,14/04/2020,2670,4,2,Completed
192,10/02/2020,1264,9,2,Completed
193,10/02/2020,2932,9,2,Requested
194,19/04/2020,3486,5,2,Requested
195,12/04/2020,868,18,2,Completed
196,03/03/2020,1011,13,1,Requested
197,13/04/2020,2952,14,2,Requested
198,02/03/2020,1054,14,2,Requested
199,24/03/2020,3728,4,1,Requested
200,04/02/2020,541,11,2,Requested
201,25/03/2020,1546,5,2,Completed
202,26/02/2020,3885,13,1,Completed
203,08/02/2020,883,10,1,Completed
204,19/02/2020,1645,13,2,Requested
205,23/02/2020,2703,19,1,Completed
206,19/04/2020,2628,5,2,Requested
207,31/03/2020,2374,4,1,Requested
208,13/04/2020,1974,15,2,Requested
209,15/02/2020,2888,11,2,Completed
210,08/04/2020,715,13,2,Requested
211,06/04/2020,2266,2,1,Completed
212,26/04/2020,4080,1,1,Requested
213,27/03/2020,438,10,1,Completed
214,15/04/2020,4189,13,1,Requested
215,06/02/2020,784,17,2,Requested
216,13/02/2020,3404,5,2,Completed
217,21/04/2020,2896,8,2,Completed
218,27/04/2020,3500,13,1,Requested
219,19/03/2020,904,3,2,Requested
220,09/03/2020,3697,10,2,Requested
221,04/02/2020,2018,12,2,Requested
222,10/02/2020,3830,11,2,Completed
223,06/03/2020,2720,7,1,Requested
224,26/02/2020,2970,5,2,Requested
225,29/04/2020,3887,9,2,Requested
226,20/04/2020,3695,13,1,Requested
227,12/04/2020,2063,15,1,Requested
228,17/03/2020,760,12,2,Requested
229,16/03/2020,30,2,2,Requested
230,17/02/2020,1481,13,2,Requested
231,09/03/2020,1181,9,2,Requested
232,09/02/2020,1323,2,2,Requested
233,23/03/2020,1717,18,1,Completed
234,16/04/2020,415,9,1,Requested
235,23/02/2020,589,12,2,Completed
236,17/03/2020,3232,1,2,Requested
237,16/03/2020,212,7,1,Requested
238,28/04/2020,2512,9,1,Requested
239,13/02/2020,3129,3,2,Requested
240,14/04/2020,2349,19,1,Requested
241,20/04/2020,2367,5,1,Requested
242,16/02/2020,3504,11,2,Requested
243,05/02/2020,1674,4,1,Requested
244,03/04/2020,4280,5,1,Requested
245,14/02/2020,4224,6,2,Completed
246,26/03/2020,127,15,1,Requested
247,24/04/2020,1535,15,2,Requested
248,20/04/2020,4277,14,1,Completed
249,18/02/2020,974,2,2,Requested
250,08/04/2020,3285,7,2,Requested
251,14/04/2020,3852,12,2,Requested
252,16/03/2020,3486,16,1,Completed
253,16/03/2020,4065,5,1,Requested
254,17/03/2020,314,19,1,Requested
255,26/04/2020,1590,11,2,Requested
256,01/04/2020,472,19,1,Requested
257,21/02/2020,2611,2,1,Requested
258,13/03/2020,1534,6,2,Requested
259,03/04/2020,1802,15,2,Completed
260,29/02/2020,4026,11,1,Requested
261,25/03/2020,3061,5,2,Completed
262,13/02/2020,3445,13,2,Requested
263,17/02/2020,1290,5,1,Requested
264,25/03/2020,2242,16,2,Requested
265,06/03/2020,4140,9,2,Requested
266,13/03/2020,1974,17,1,Requested
267,10/03/2020,3056,8,2,Requested
268,15/03/2020,3990,4,1,Requested
269,11/03/2020,2750,17,1,Requested
270,24/03/2020,1944,16,1,Requested
271,14/04/2020,3968,8,2,Requested
272,27/04/2020,3328,2,2,Requested
273,06/04/2020,3936,10,1,Completed
274,25/03/2020,3577,2,1,Completed
275,25/02/2020,1457,9,1,Completed
276,04/04/2020,3172,10,1,Requested
277,12/04/2020,1456,4,2,Completed
278,05/03/2020,1014,12,2,Requested
279,19/03/2020,880,7,1,Requested
280,17/04/2020,1637,10,1,Requested
281,11/03/2020,3563,11,2,Requested
282,12/04/2020,579,11,2,Requested
283,26/04/2020,1319,10,2,Requested
284,12/04/2020,1402,15,1,Requested
285,04/03/2020,3396,14,2,Requested
286,03/03/2020,2159,7,1,Completed
287,17/04/2020,3206,13,1,Requested
288,07/02/2020,2786,2,2,Completed
289,17/04/2020,2704,9,1,Completed
290,27/02/2020,1228,14,2,Completed
291,19/02/2020,1381,13,2,Requested
292,12/02/2020,2893,11,2,Requested
293,08/03/2020,3834,11,2,Requested
294,18/04/2020,2282,6,1,Requested
295,18/02/2020,1519,19,2,Completed
296,17/03/2020,1459,15,1,Requested
297,03/02/2020,2085,10,2,Requested
298,29/02/2020,921,12,2,Completed
299,17/02/2020,1983,16,2,Completed
300,28/04/2020,444,12,1,Completed
301,09/04/2020,2837,2,2,Requested
302,20/03/2020,2755,14,1,Requested
303,29/04/2020,1492,13,2,Requested
304,25/02/2020,2239,18,2,Requested
305,17/03/2020,3290,4,2,Requested
306,20/03/2020,2585,8,2,Requested
307,13/03/2020,712,7,1,Requested
308,12/04/2020,546,3,1,Requested
309,25/03/2020,892,15,2,Requested
310,12/02/2020,2763,12,2,Requested
311,13/04/2020,647,8,2,Requested
312,26/04/2020,3881,6,1,Requested
313,20/03/2020,1558,9,1,Requested
314,02/04/2020,1802,2,1,Completed
315,30/03/2020,1289,4,2,Requested
316,24/02/2020,3359,18,1,Requested
317,11/03/2020,4029,17,2,Requested
318,25/03/2020,2970,13,2,Requested
319,03/02/2020,1247,6,1,Requested
320,06/03/2020,317,19,2,Requested
321,04/02/2020,2952,5,1,Completed
322,16/04/2020,3454,11,2,Requested
323,25/04/2020,987,2,2,Completed
324,05/03/2020,284,18,1,Completed
325,09/02/2020,483,3,1,Requested
326,07/03/2020,1020,4,2,Requested
327,20/03/2020,3716,9,2,Requested
328,24/04/2020,3047,3,1,Completed
329,07/04/2020,909,1,1,Completed
330,08/03/2020,2966,12,1,Requested
331,30/03/2020,3276,18,1,Requested
332,25/04/2020,3236,15,1,Requested
333,14/04/2020,3023,8,1,Requested
334,17/04/2020,3034,11,1,Requested
335,28/04/2020,2176,19,1,Completed
336,24/02/2020,1574,17,2,Completed
337,28/04/2020,2034,17,2,Requested
338,14/03/2020,3165,1,1,Requested
339,01/04/2020,4046,13,1,Completed
340,24/04/2020,3564,19,2,Requested
341,15/03/2020,1023,9,2,Requested
342,07/02/2020,3914,2,1,Requested
343,12/02/2020,855,13,2,Completed
344,29/02/2020,1106,10,2,Requested
345,07/02/2020,1975,3,1,Requested
346,15/03/2020,3923,19,1,Completed
347,12/02/2020,2761,13,1,Requested
348,28/02/2020,798,12,2,Completed
349,04/04/2020,2624,15,2,Requested
350,07/02/2020,3976,12,1,Requested
351,01/02/2020,2081,10,1,Completed
352,04/03/2020,2002,8,1,Requested
353,02/02/2020,1971,1,2,Completed
354,17/03/2020,1215,2,2,Requested
